algorithm,structure,num_vertices,density,num_edges,avg_time_ms,std_time_ms,memory_bytes,avg_operations,negative_cycle
Dijkstra,adjacency_matrix,50,0.1,245,0.4233,0.0416,70000,245,False
Dijkstra,edge_list,50,0.1,245,1.125,0.0883,29456,245,False
Dijkstra,adjacency_list,50,0.1,245,0.2543,0.0143,39400,245,False
Dijkstra,adjacency_matrix,50,0.3,735,0.8198,0.0813,70000,735,False
Dijkstra,edge_list,50,0.3,735,2.9952,0.0779,88256,735,False
Dijkstra,adjacency_list,50,0.3,735,0.4412,0.0194,98200,735,False
Dijkstra,adjacency_matrix,50,0.6,1470,1.1282,0.0298,70000,1470,False
Dijkstra,edge_list,50,0.6,1470,5.8189,0.0569,176456,1470,False
Dijkstra,adjacency_list,50,0.6,1470,0.7268,0.016,186400,1470,False
Dijkstra,adjacency_matrix,50,0.9,2205,1.512,0.0211,70000,2205,False
Dijkstra,edge_list,50,0.9,2205,8.7934,0.1305,264656,2205,False
Dijkstra,adjacency_list,50,0.9,2205,0.9588,0.0304,274600,2205,False
Dijkstra,adjacency_matrix,100,0.1,990,1.6937,0.0292,280000,990,False
Dijkstra,edge_list,100,0.1,990,7.6773,0.0905,118856,990,False
Dijkstra,adjacency_list,100,0.1,990,0.7168,0.0375,138800,990,False
Dijkstra,adjacency_matrix,100,0.3,2970,2.1822,0.0784,280000,2970,False
Dijkstra,edge_list,100,0.3,2970,18.4173,0.6229,356456,2970,False
Dijkstra,adjacency_list,100,0.3,2970,1.2591,0.0878,376400,2970,False
Dijkstra,adjacency_matrix,100,0.6,5940,3.2438,0.0409,280000,5940,False
Dijkstra,edge_list,100,0.6,5940,37.7287,1.2508,712856,5940,False
Dijkstra,adjacency_list,100,0.6,5940,2.0135,0.1386,732800,5940,False
Dijkstra,adjacency_matrix,100,0.9,8910,4.2353,0.0546,280000,8910,False
Dijkstra,edge_list,100,0.9,8910,60.1771,3.2878,1069256,8910,False
Dijkstra,adjacency_list,100,0.9,8910,2.7339,0.0622,1089200,8910,False
Dijkstra,adjacency_matrix,250,0.1,6225,7.37,0.1064,1750000,6225,False
Dijkstra,edge_list,250,0.1,6225,92.2617,1.3896,747056,6225,False
Dijkstra,adjacency_list,250,0.1,6225,2.8121,0.0493,797000,6225,False
Dijkstra,adjacency_matrix,250,0.3,18675,12.2773,0.1113,1750000,18675,False
Dijkstra,edge_list,250,0.3,18675,307.6482,14.3241,2241056,18675,False
Dijkstra,adjacency_list,250,0.3,18675,6.1795,0.1301,2291000,18675,False
Dijkstra,adjacency_matrix,250,0.6,37350,15.1789,2.4197,1750000,37350,False
Dijkstra,edge_list,250,0.6,37350,544.7104,96.885,4482056,37350,False
